OBJECTID_1,OBJECTID,District,Route,Rte_SFX,County,PM_PFX,Postmile,PM_SFX,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lon_S_or_W,Lat_S_or_W,Lon_N_or_E,Lat_N_or_E
5494,5494,9,14, ,KER, ,64.559, ,HOMESTEAD NORTH JCT. RTE. 395,800,5300,4100, , , ,-117.8679411,35.69454578,-117.867308,35.69451233
5495,5495,9,58, ,KER,R,90.717, ,JCT. RTE. 202 SOUTHWEST,2200,22900,19700,2800,25500,24000,-118.4672931,35.14145358,-118.4674324,35.14130037
5496,5496,9,58, ,KER,R,91.67, ,"TEHACHAPI, MILL STREET",2800,22000,20700,1950,22600,21400,-118.4508356,35.13982387,-118.4508724,35.13963569
5497,5497,9,58, ,KER,R,94.164, ,SUMMIT,2000,24500,23200,2050,23300,23200,-118.4113211,35.12775732,-118.4115873,35.1277555
5498,5498,9,58, ,KER,R,99.254, ,SAND CANYON OH,1950,20900,20100,2250,24200,22600,-118.3270291,35.11042124,-118.3269734,35.11023101
5499,5499,9,58, ,KER,R,101.562, ,CAMERON ROAD,2000,21400,20000,2250,24100,23700,-118.2928896,35.09953387,-118.2929714,35.09931596
5500,5500,9,58, ,KER,R,107.465, ,RANDSBURG CUT-OFF ROAD,2400,25500,24700,1900,20700,19600,-118.20394,35.11700721,-118.203958,35.11688177
5501,5501,9,58, ,KER,M,108.906, ,BUSINESS 58,1800,21000,19900,1650,15600,15100,-118.1791319,35.11382812,-118.1792373,35.113606
5502,5502,9,58, ,KER,M,111.13, ,JCT. RTE. 14,1800,16900,16400,1250,15900,14000,-118.1442928,35.09896576,-118.1445128,35.09867894
5503,5503,9,58, ,KER,M,116.229, ,BUSINESS 58 OC,1500,15100,14000,1800,17500,16500,-118.1069082,35.03803772,-118.1072408,35.03789077
5504,5504,9,58, ,KER,R,127.636, ,CALIFORNIA CITY BOULEVARD,1800,20400,18600,1800,18100,17000,-117.916911,35.01239849,-117.916937,35.01205406
5505,5505,9,58, ,KER,R,129.674, ,EDWARDS,1800,18100,17300,1700,17200,15500,-117.881114,35.00991,-117.8811049,35.00957351
5506,5506,9,58, ,KER,R,132.042, ,CLAY MINE ROAD,1700,16500,14500,1600,18700,16300,-117.839506,35.00701348,-117.8395304,35.00667072
5507,5507,9,58, ,KER,R,142.878, ,BORON AVENUE,1650,16100,15350,1450,15700,14700,-117.6498202,35.01045311,-117.6498169,35.01009403
5508,5508,9,58, ,KER,R,143.86, ,KERN/SAN BERNARDINO COUNTY LINE,1750,17300,15400, , , ,-117.6327068,35.01035362,-117.6325211,35.01001641
5509,5509,9,89, ,MNO, ,0, ,"SLINKARD JUNCTION, JCT. RTE. 395", , , ,90,570,260,-119.527594,38.642657,-119.527594,38.642657
5510,5510,9,89, ,MNO, ,7.596, ,MONO/ALPINE COUNTY LINE,100,620,390, , , ,-119.5930595,38.68077742,-119.5930595,38.68077742
5511,5511,9,108, ,MNO, ,0, ,TUOLUMNE/MONO COUNTY LINE, , , ,170,1100,500,-119.6371773,38.32791667,-119.6371773,38.32791667
5512,5512,9,108, ,MNO, ,7.9, ,LEAVITT MEADOWS,130,1350,700,320,2550,1320,-119.5534799,38.33134385,-119.5534799,38.33134385
5513,5513,9,108, ,MNO, ,9.6, ,CAMP CLOUDBURST U S M C,360,2550,1320,350,2950,1560,-119.5360604,38.35030225,-119.5360604,38.35030225
5514,5514,9,108, ,MNO, ,15.149, ,"SONORA JUNCTION, JCT. RTE. 395",160,1500,700, , , ,-119.452307,38.34848146,-119.452307,38.34848146
5515,5515,9,120, ,MNO,R,0, ,TUOLUMNE/MONO COUNTY LINE, , , ,400,3600,2200,-119.872696,37.81049487,-119.872696,37.81049487
5516,5516,9,120, ,MNO,R,8.56, ,BIG BEND GATE,470,4550,2600,300,3750,2450,-119.1657954,37.9309687,-119.1657954,37.9309687
5517,5517,9,120, ,MNO,R,11.05, ,OLD ROUTE 120 ROAD,230,2900,1900,430,4350,1330,-119.1231186,37.93966143,-119.1231186,37.93966143
5518,5518,9,120, ,MNO,R,12.055, ,NORTH  JCT. RTE 395,430,3850,1330,430,4350,1330,-119.1130952,37.95042371,-119.1130952,37.95042371
5519,5519,9,120, ,MNO,R,12.056, ,JCT. RTE. 395,460,4600,1460,140,1200,540,-119.113091,37.950439,-119.113091,37.950439
5520,5520,9,120, ,MNO, ,51.86, ,BENTON CROSSING RD,60,500,270,50,390,170,-118.568618,37.791872,-118.568618,37.791872
5521,5521,9,120, ,MNO, ,58.99, ,JCT. RTE. 6,70,700,480, , , ,-118.4769947,37.81829851,-118.4769947,37.81829851
5522,5522,9,127, ,INY, ,0, ,SAN BERNARDINO/INYO COUNTY LINE, , , ,180,1150,900,-116.3400804,35.79386576,-116.3400804,35.79386576
5523,5523,9,127, ,INY, ,6.51, ,OLD SPANISH TRAIL HWY,170,1000,750,140,1050,840,-116.2868318,35.87136631,-116.2868318,35.87136631
5524,5524,9,127, ,INY, ,14.749, ,"SHOSHONE, SOUTH JCT. RTE. 178 EAST",170,1450,1100,190,1350,970,-116.2703823,35.97272769,-116.2703823,35.97272769
5525,5525,9,127, ,INY, ,16.249, ,"NORTH JCT. RTE. 178 WEST, SHOSHONE, NORTH",90,680,450,60,480,390,-116.2736556,35.99411084,-116.2736556,35.99411084
5526,5526,9,127, ,INY, ,16.43, ,NORTH JCT RTE 178 WEST,90,690,520,60,490,370,-116.2748701,35.99630824,-116.2748701,35.99630824
5527,5527,9,127, ,INY, ,41.99, ,SOUTH OF STATELINE ROAD,60,470,350,180,1550,1170,-116.4144371,36.30232671,-116.4144371,36.30232671
5528,5528,9,127, ,INY, ,42.149, ,JCT. RTE. 190 WEST,220,1850,1640,120,1050,900,-116.415192,36.30461285,-116.415192,36.30461285
5529,5529,9,127, ,INY, ,49.42, ,NEVADA STATE LINE,100,1100,870, , , ,-116.4222742,36.40850335,-116.4222742,36.40850335
5530,5530,9,136, ,INY, ,0, ,JCT. RTE. 395, , , ,120,950,650,-118.0575622,36.5792777,-118.0575622,36.5792777
5531,5531,9,136, ,INY, ,17.73, ,JCT. RTE. 190,110,890,530, , , ,-117.82438,36.43003604,-117.82438,36.43003604
5532,5532,9,158, ,MNO, ,0, ,"JUNE LAKE JUNCTION, SOUTH JCT. RTE. 395", , , ,420,3600,2060,-119.0535133,37.81269976,-119.0535133,37.81269976
5533,5533,9,158, ,MNO,R,2.822, ,LAKEVIEW DRIVE,270,2800,1500,270,2800,1500,-119.076383,37.7775161,-119.076383,37.7775161
5534,5534,9,158, ,MNO, ,3.86, ,NORTH SHORE DRIVE,310,2500,1700,290,2550,1600,-119.0922063,37.76939242,-119.0922063,37.76939242
5535,5535,9,158, ,MNO, ,7.18, ,SILVER LAKE CAMPGROUND,240,2050,1450,140,1100,720,-119.1268755,37.78315353,-119.1268755,37.78315353
5536,5536,9,158, ,MNO, ,15.836, ,"GRANT LAKE JUNCTION, NORTH JCT. RTE. 395",160,990,480, , , ,-119.0919986,37.89233651,-119.0919986,37.89233651
5537,5537,9,167, ,MNO, ,0, ,JCT. RTE. 395, , , ,40,340,180,-119.160785,38.045296,-119.160785,38.045296
5538,5538,9,167, ,MNO, ,21.331, ,NEVADA STATE LINE,20,170,100, , , ,-118.797624,38.160551,-118.797624,38.160551
5539,5539,9,168, ,INY,R,0, ,LAKE SABRINA, , , ,70,500,400,-119.1614728,37.25542224,-119.1614728,37.25542224
5540,5540,9,168, ,INY,R,3.278, ,SOUTH LAKE ROAD,90,500,400,190,1350,700,-118.5800191,37.25625482,-118.5800176,37.25625944
5541,5541,9,168, ,INY, ,14.74, ,OTEY ROAD,210,1900,1410,180,1600,1200,-118.4593579,37.35844084,-118.4593579,37.35844084
5542,5542,9,168, ,INY, ,16.342, ,BROCKMAN LANE,650,6800,6300,750,7800,7100,-118.4312801,37.36138063,-118.4312801,37.36138063
5543,5543,9,168, ,INY, ,18.31, ,JCT. RTE. 395,820,8200,7700,120,800,530,-118.3952836,37.36140134,-118.3952836,37.36140134
5544,5544,9,168, ,INY, ,54.699, ,INYO/MONO COUNTY LINE,40,290,170, , , ,-117.9169729,37.46467767,-117.9169729,37.46467767
5545,5545,9,168, ,MNO, ,0, ,INYO/MONO COUNTY LINE, , , ,40,290,170,-117.9169729,37.46467767,-117.9169729,37.46467767
5546,5546,9,168, ,MNO, ,1.45, ,"OASIS, JCT. RTE. 266 NORTH",50,390,220, , , ,-117.9120377,37.48679257,-117.9120377,37.48679257
5547,5547,9,178, ,KER, ,88.26, ,JCT. RTE. 14,230,1750,1400,960,3350,3000,-117.903057,35.60160553,-117.903057,35.60160553
5548,5548,9,178, ,KER,R,93.237, ,JCT. RTE. 395,960,3350,3000,600,6500,6250,-117.8007025,35.65145415,-117.8007025,35.65145415
5549,5549,9,178, ,KER, ,99.092, ,"RIDGECREST, WEST CITY LIMITS",980,7500,6750,750,7600,6300,-117.6969272,35.65180794,-117.6968964,35.65168714
5550,5550,9,178, ,KER, ,100.608, ,NORTH CHINA LAKE BOULEVARD,750,7600,6300,1450,14300,13400,-117.669877,35.65164734,-117.669877,35.65164734
5551,5551,9,178, ,KER, ,102.616, ,RIDGECREST BLVD/CHINA LAKE,1900,20400,19700,1150,12000,11100,-117.6699299,35.62251339,-117.6699299,35.62251339
5552,5552,9,178, ,KER, ,103.85, ,"RIDGECREST, RICHMOND ROAD",850,7200,7000,340,2450,2300,-117.6480239,35.62249113,-117.648024,35.62249113
5553,5553,9,178, ,KER, ,104.622, ,SAN BERNARDINO/KERN COUNTY LINE,320,2900,2600, , , ,-117.63439,35.62251,-117.6344073,35.62250991
5554,5554,9,178, ,INY, ,28, ,"DEATH VALLEY MONUMENT, SOUTH BOUNDARY", , , ,50,400,250,-117.3920859,35.68131243,-117.3920859,35.68131243
5555,5555,9,178, ,INY, ,42.92, ,JCT. RTE. 127,50,290,170,190,1300,990,-116.2748867,35.99633837,-116.2748867,35.99633837
5556,5556,9,178, ,INY, ,62.186, ,NEVADA STATE LINE,190,1300,1010, , , ,-116.1083364,36.16717908,-116.1083364,36.16717908
5557,5557,9,182, ,MNO, ,0, ,"BRIDGEPORT, JCT. RTE. 395", , , ,180,1650,1150,-119.2230969,38.25513207,-119.2230969,38.25513207
5558,5558,9,182, ,MNO,R,6.32, ,BRIDGEPORT RESERVOIR,170,1550,1050,80,690,420,-119.2078121,38.34401808,-119.2078121,38.34401808
5559,5559,9,182, ,MNO, ,12.651, ,NEVADA STATE LINE,70,650,390, , , ,-119.1615065,38.41762181,-119.1615065,38.41762181
5560,5560,9,190, ,INY, ,9.85, ,"OLANCHA, JCT. RTE. 395", , , ,50,300,240,-118.5447519,36.1233603,-118.5447519,36.1233603
5561,5561,9,190, ,INY, ,24.55, ,JCT. RTE. 136 NORTHWEST,60,410,300,110,1050,650,-117.82438,36.430036,-117.82438,36.430036
5562,5562,9,190, ,INY, ,85.83, ,STOVEPIPE WELLS,190,1350,950,250,1200,900,-117.1473594,36.60601779,-117.1473594,36.60601779
5563,5563,9,190, ,INY, ,93.21, ,SCOTTY'S CASTLE ROAD,210,1600,1300,180,1250,810,-117.036127,36.63899516,-117.036127,36.63899516
5564,5564,9,190, ,INY, ,99.77, ,BEATTY CUTOFF ROAD,290,1900,1340,270,1550,1160,-116.9433494,36.58801763,-116.9433494,36.58801763
5565,5565,9,190, ,INY, ,110.72, ,FURNACE CREEK RANCH,290,2200,1950,340,1500,1050,-116.8651798,36.45710077,-116.8651798,36.45710077
5566,5566,9,190, ,INY, ,111.73, ,BAD WATER ROAD,340,1500,1050,240,1800,1550,-116.852769,36.448392,-116.852769,36.448392
5567,5567,9,190, ,INY, ,140.692, ,"DEATH VALLEY JUNCTION, JCT. RTE. 127",220,1600,1350, , , ,-116.4151972,36.30462799,-116.4151972,36.30462799
5568,5568,9,202, ,KER,R,1.476, ,TEHACHAPI MENS PRISON, , , ,310,2100,2000,-118.574783,35.12370487,-118.574783,35.12370487
5569,5569,9,202, ,KER,R,2.16, ,CUMMINGS VALLEY RD-W,360,2100,1800,1100,10500,10100,-118.5679792,35.13155273,-118.5679792,35.13155273
5570,5570,9,202, ,KER,R,5.5, ,OLD TOWN ROAD,850,9500,9200,1100,11100,9600,-118.5214524,35.11265636,-118.5214524,35.11265636
5571,5571,9,202, ,KER,R,7.4, ,WOODFORD ROAD,1400,14600,13900,1300,13000,12750,-118.4948746,35.12437808,-118.4948648,35.12427269
5572,5572,9,202, ,KER,R,8.87, ,TUCKER ROAD,1500,15800,15000,1450,14900,14100,-118.4677876,35.12434062,-118.4677876,35.12434062
5573,5573,9,202, ,KER, ,12.008, ,JCT. RTE. 58,1350,14100,13300,1200,12200,12000,-118.467362,35.14141391,-118.467362,35.14141391
5574,5574,9,202, ,KER, ,12.093, ,END OF KERN COUNTY,1200,12200,12000, , , ,-118.4664697,35.14228747,-118.4664697,35.14228747
5575,5575,9,203, ,MNO,L,0, ,MINARET SUMMIT, , , ,130,780,620,-119.057845,37.653956,-119.057845,37.653956
5576,5576,9,203, ,MNO,R,2.35, ,MAINTENANCE SUBSTATION ROAD,740,4500,3750,740,4500,3750,-119.010188,37.650629,-119.010188,37.650629
5577,5577,9,203, ,MNO,R,4.49, ,"MAMMOTH, FOREST TRAIL ROAD",890,6100,4800,1350,12400,8850,-118.9850041,37.65185994,-118.9850041,37.65185994
5578,5578,9,203, ,MNO,R,4.782, ,LAKE MARY/MINARET ROADS,1350,12600,9200,1450,14100,11000,-118.983111,37.648446,-118.983111,37.648446
5579,5579,9,203, ,MNO, ,5.75, ,OLD MAMMOTH ROAD,1750,18100,14600,890,9200,6500,-118.9658209,37.64692842,-118.965853,37.646815
5580,5580,9,203, ,MNO, ,6.866, ,MERIDIAN BLVD,1050,11000,8200,1050,10700,7400,-118.9460037,37.64376601,-118.946289,37.643352
5581,5581,9,203, ,MNO,R,8.56, ,JCT. RTE. 395,1300,13100,9600,1050,10700,7400,-118.9167279,37.64127613,-118.9167279,37.64127613
5582,5582,9,203, ,MNO,R,8.671, ,END ROUTE,1050,10700,7400, , , ,-118.9148455,37.6417024,-118.9148455,37.6417024
5583,5583,9,266, ,MNO, ,0, ,NEVADA STATE LINE (SOUTH), , , ,70,520,290,-117.8395835,37.46942764,-117.8395835,37.46942764
5584,5584,9,266, ,MNO, ,4.3, ,JCT. RTE. 168,40,330,180,30,260,170,-117.903976,37.486666,-117.903976,37.486666
5585,5585,9,266, ,MNO, ,11.721, ,NEVADA STATE LINE (NORTH),40,320,140, , , ,-117.9827866,37.57404914,-117.9827866,37.57404914
5586,5586,9,270, ,MNO, ,0, ,JCT. RTE. 395, , , ,110,680,290,-119.194731,38.17535799,-119.194731,38.17535799
5587,5587,9,270, ,MNO, ,9.805, ,BODIE HISTORIC STATE PARK,120,700,450, , , ,-119.0528527,38.19214212,-119.0528527,38.19214212
5588,5588,9,395, ,KER, ,0, ,SAN BERNARDINO/KERN COUNTY LINE, , , ,540,5700,4500,-117.6316218,35.37154101,-117.6316218,35.37154101
5589,5589,9,395, ,KER,R,1.152, ,"REDROCK, RANDSBURG RD",580,5800,4500,590,5300,4200,-117.6481135,35.38050373,-117.6481058,35.38057038
5590,5590,9,395, ,KER,R,14.995, ,CHINA LAKE ROAD,570,5200,4100,410,3600,2950,-117.7136453,35.5509825,-117.7136453,35.5509825
5591,5591,9,395, ,KER,R,23.48, ,JCT. RTE. 178,500,4600,3750,500,4600,3750,-117.8006944,35.65143455,-117.8006944,35.65143455
5592,5592,9,395, ,KER,R,29.64, ,JCT. RTE. 14 SOUTH,490,3800,3350,1050,7200,5650,-117.8673168,35.69452483,-117.866584,35.69470528
5593,5593,9,395, ,KER,R,36.824, ,KERN/INYO COUNTY LINE,1050,7500,5700, , , ,-117.8729045,35.79810963,-117.8725631,35.79810628
5594,5594,9,395, ,INY,R,0, ,KERN/INYO COUNTY LINE, , , ,1050,7500,5600,-117.8729045,35.79810963,-117.8725631,35.79810628
5595,5595,9,395, ,INY,R,3.022, ,NINE MILE CYN RD,1200,8900,6800,1250,9200,7400,-117.8752199,35.84214789,-117.8748226,35.84214823
5596,5596,9,395, ,INY, ,34.674, ,JCT. RTE. 190 EAST,1250,9100,7200,1250,9000,7100,-118.0061208,36.28219202,-118.0061208,36.28219202
5597,5597,9,395, ,INY, ,55.827, ,JCT. RTE. 136 SOUTHEAST,1250,9400,7150,1300,10700,8000,-118.0576168,36.5792658,-118.0575097,36.57927498
5598,5598,9,395, ,INY, ,57.67, ,"LONE PINE, WHITNEY PORTAL ROAD",1200,9300,7000,1150,8500,6500,-118.0629944,36.60488581,-118.0629944,36.60488581
5599,5599,9,395, ,INY,R,58.814, ,PANGBORN LANE,1100,8000,6000,1300,9700,7600,-118.0688858,36.62001086,-118.0687677,36.62003305
5600,5600,9,395, ,INY, ,73.41, ,"INDEPENDENCE, MARKET STREET",1100,8400,6300,1250,10000,7800,-118.1996278,36.80248401,-118.1996278,36.80248401
5601,5601,9,395, ,INY, ,73.85, ,INDEPENDENCE MAINTENANCE STATION,1100,8400,6300,1050,8400,6300,-118.2033854,36.80837577,-118.2032014,36.80808454
5602,5602,9,395, ,INY, ,96.4, ,4.3 MI SOUTH OF JCT RTE 168 E,1200,9700,7500,1200,9300,7100,-118.2593069,37.11587414,-118.25891,37.11599792
5603,5603,9,395, ,INY, ,96.5, ,3.5 MILES SOUTH OF BIG PINE,1200,9300,7100,1250,9700,7500,-118.2602173,37.11710015,-118.2598022,37.11722427
5604,5604,9,395, ,INY, ,100.833, ,"BIG PINE, JCT. RTE. 168 NORTHEAST",1050,8100,6200,1500,10800,9400,-118.2903712,37.17342875,-118.2902401,37.17344656
5605,5605,9,395, ,INY, ,112.66, ,GERKIN ROAD,1350,11400,9300,1300,11300,9000,-118.3898088,37.32231301,-118.3896568,37.32239201
5606,5606,9,395, ,INY, ,115.195, ,"BISHOP, SOUTH STREET",1600,16500,14100,1650,18200,15800,-118.3952698,37.35863301,-118.3951647,37.35864642
5607,5607,9,395, ,INY, ,115.403, ,"BISHOP, JCT. RTE. 168 WEST",1600,16100,13900,1650,18000,15900,-118.3952838,37.36142016,-118.3952838,37.36142016
5608,5608,9,395, ,INY, ,116.25, ,JCT. RTE. 6 NORTH,1750,19100,17200,1500,15300,13100,-118.3956609,37.37415272,-118.3955738,37.37421914
5609,5609,9,395, ,INY, ,117.3, ,BISHOP BIKE PATH,1600,16300,14400,1500,15400,13100,-118.4133653,37.37581157,-118.4134508,37.37591096
5610,5610,9,395, ,INY, ,120.95, ,ED POWERS ROAD,1500,15300,13100,1250,11400,9100,-118.4773968,37.38078791,-118.4773229,37.38087839
5611,5611,9,395, ,INY,R,126.14, ,PINE CREEK ROAD,1100,9400,7300,1200,10000,7300,-118.5555448,37.419441,-118.5550758,37.41945092
5612,5612,9,395, ,INY,R,129.459, ,INYO/MONO COUNTY LINE,1050,8900,6550, , , ,-118.5787431,37.46295442,-118.5779031,37.46293374
5613,5613,9,395, ,MNO,R,0,R,"INYO/MONO COUNTY LINE, RIGHT ALIGN", , , ,580,4700,3600,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-118.5779031,37.46293374
5614,5614,9,395, ,MNO,R,7,R,END RIGHT ALIGN,580,4700,3600, , , ,Left Skipped - Input PM on Right Ind. Alignment,Left Skipped - Input PM on Right Ind. Alignment,-118.637112,37.53573646
5615,5615,9,395, ,MNO,R,0,L,"INYO/MONO COUNTY LINE, LEFT ALIGN", , ,2650,590,5000,3700,-118.5787431,37.46295442,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
5616,5616,9,395, ,MNO,R,6.774,L,END LEFT ALIGN,590,5000,3700, , , ,-118.637106,37.53564117,Right Skipped - Input PM on Left Ind. Alignment,Right Skipped - Input PM on Left Ind. Alignment
5617,5617,9,395, ,MNO,R,13.931, ,S OF CROWLEY LAKE RD,1200,10900,8000,1200,10500,7700,-118.7390618,37.57318001,-118.7389668,37.57337901
5618,5618,9,395, ,MNO,R,16.618, ,"CROWLEY LAKE, MCGEE CREEK ROAD",1200,10400,7600,1000,10000,6900,-118.7840158,37.58748416,-118.7838588,37.58778824
5619,5619,9,395, ,MNO,R,25.75, ,JCT. RTE. 203 WEST,1400,14000,10100,970,9400,5300,-118.9168868,37.64112901,-118.9166857,37.64143493
5620,5620,9,395, ,MNO, ,40.336, ,SOUTH JCT. RTE. 158,1050,9700,5350,860,8200,4600,-119.0535608,37.81265901,-119.0534788,37.81272901
5621,5621,9,395, ,MNO, ,46.4, ,NORTH JCT. RTE. 158,860,7000,4550,960,9000,5000,-119.0924035,37.89254959,-119.0917605,37.89266611
5622,5622,9,395, ,MNO, ,50.744, ,"TIOGA PASS JUNCTION, NORTH JCT. RTE. 120 WEST",960,9000,5000,730,5800,4100,-119.1131118,37.95036401,-119.1131276,37.95047976
5623,5623,9,395, ,MNO, ,51.69, ,LEE VINING VISITORS CENTER,660,6000,3600,780,7100,4400,-119.1224368,37.96083577,-119.1223117,37.96083882
5624,5624,9,395, ,MNO, ,58.24, ,JCT. RTE. 167 EAST,590,5100,3150,680,6100,3750,-119.160813,38.04533823,-119.1608142,38.04534003
5625,5625,9,395, ,MNO, ,76.3, ,"BRIDGEPORT, JCT. RTE. 182 NORTH",720,6400,4000,740,6600,3950,-119.2231781,38.25529652,-119.2231781,38.25529652
5626,5626,9,395, ,MNO, ,80.61, ,FARM HOUSE,510,4500,2800,480,5400,3650,-119.2894562,38.27645406,-119.2894562,38.27645406
5627,5627,9,395, ,MNO, ,93.7, ,JCT. RTE. 108 WEST,650,5100,3350,590,5500,3750,-119.4522853,38.3485035,-119.4522853,38.3485035
5628,5628,9,395, ,MNO, ,107.105, ,MILL CREEK BRIDGE,530,5100,3550,530,5100,3550,-119.4713432,38.51332933,-119.4713257,38.51332415
5629,5629,9,395, ,MNO, ,116.965, ,JCT. RTE. 89,640,6000,4350,500,5000,3500,-119.527594,38.642657,-119.527594,38.642657
5630,5630,9,395, ,MNO, ,120.49, ,NEVADA STATE LINE,630,6000,4100, , , ,-119.5485717,38.6877372,-119.5485717,38.6877372
5631,5631,10,4, ,SJ, ,0, ,CONTRA COSTA/SAN JOAQUIN COUNTY LINE, , , ,2000,15400,14000,-121.5699639,37.89090518,-121.5699639,37.89090518
5632,5632,10,4, ,SJ, ,10.49, ,INLAND DRIVE,1450,16800,14100,1550,18000,15200,-121.3991793,37.92690418,-121.397038,37.92685092
5633,5633,10,4, ,SJ, ,11.672, ,MAYBECK ROAD,1600,18500,15700,1600,18500,15700,-121.3753546,37.92688029,-121.3753524,37.9268803
5634,5634,10,4, ,SJ,T,14.023, ,ROBERTS ISLAND ROAD,1750,17300,16400,1850,20400,17400,-121.3327794,37.92738195,-121.3327794,37.92738195
5635,5635,10,4, ,SJ, ,15.09, ,FRESNO AVENUE,2750,21000,18700,1900,20500,17400,-121.3119411,37.93300362,-121.3119399,37.93288235
5636,5636,10,4, ,SJ, ,15.8, ,NAVY DRIVE/STOCKTON STREET,2450,22600,20100,2600,23800,21200,-121.2998223,37.93623846,-121.2998464,37.93609881
5637,5637,10,4, ,SJ,R,16.059, ,"STOCKTON, NORTH JCT RTE 5",1850,19400,17100,8200,102000,98000,-121.3007367,37.94842675,-121.3006005,37.94823033
5638,5638,10,4, ,SJ,R,17.052, ,STANISLAUS STREET,8300,104000,99000,10400,131000,125000,-121.2829116,37.95143046,-121.2828589,37.95122166
5639,5639,10,4, ,SJ,R,17.706, ,"STOCKTON, WILSON WAY",10400,131000,125000,10300,107000,106000,-121.2712286,37.95344007,-121.2711682,37.95325463
5640,5640,10,4, ,SJ,R,18.773, ,"STOCKTON, FILBERT STREET",10300,113000,112000,9700,105000,104900,-121.2536567,37.95974295,-121.2536141,37.95962797
5641,5641,10,4, ,SJ,S,19.986, ,SOUTH JCT. RTE. 99,9700,105000,104900,1050,11600,9380,-121.2305314,37.94173555,-121.2305314,37.94173555
5642,5642,10,4, ,SJ, ,20.69, ,WALKER LANE,1100,8100,6900,720,5200,4500,-121.2177837,37.94490295,-121.2177837,37.94490295
5643,5643,10,4, ,SJ, ,24.87, ,JACKTONE ROAD,750,7500,6100,780,7600,6200,-121.1480439,37.94211404,-121.1480439,37.94211404
5644,5644,10,4, ,SJ, ,33.1, ,FARMINGTON/ESCALON-BELLOTA RD,900,6800,5000,820,7600,6000,-120.9998451,37.93003936,-120.9998451,37.93003936
5645,5645,10,4, ,SJ, ,34.14, ,SONORA ROAD (TO VALLEY HOME),1250,6100,4250,1050,12700,3850,-120.9808137,37.93018963,-120.9808137,37.93018963
5646,5646,10,4, ,SJ, ,38.059, ,SAN JOAQUIN COUNTY/STANISLAUS COUNTY,1050,12700,3950, , , ,-120.9263606,37.94485575,-120.9263606,37.94485575
5647,5647,10,4, ,STA, ,0, ,SAN JOAQUIN COUNTY/STANISLAUS COUNTY, , , ,1050,12700,3950,-120.9263606,37.94485575,-120.9263606,37.94485575
5648,5648,10,4, ,STA, ,4.54, ,MILTON ROAD,1250,11000,4700,1000,8800,5300,-120.8438035,37.94475808,-120.8438035,37.94475808
5649,5649,10,4, ,STA,R,8.885, ,STANISLAUS/CALAVERAS COUNTY LINE,1000,8800,7600, , , ,-120.7708981,37.93881115,-120.7708981,37.93881115
5650,5650,10,4, ,CAL,R,0, ,STANISLAUS/CALAVERAS COUNTY LINE, , , ,1100,9300,7600,-120.7708981,37.93881115,-120.7708981,37.93881115
5651,5651,10,4, ,CAL,R,7.323, ,HODSON ROAD/REEDS TURNPIKE,1050,9100,5400,790,7600,4350,-120.6539035,37.9741076,-120.6539035,37.9741076
5652,5652,10,4, ,CAL,R,8.143, ,O' BYRNES FERRY ROAD,810,7900,4450,680,4150,4000,-120.6454245,37.98335085,-120.6454245,37.98335085
5653,5653,10,4, ,CAL, ,26.22, ,VALLECITO,500,9500,7900,860,9700,7800,-120.4713005,38.09717604,-120.4713005,38.09717604
5654,5654,10,4, ,CAL, ,29.62, ,BIG TREES/TOMBELL ROADS,890,8200,7000,810,8300,6800,-120.4560905,38.13910152,-120.4560905,38.13910152
5655,5655,10,4, ,CAL, ,37.35, ,"AVERY, MORAN ROAD WEST JUNCTION",850,9300,7500,820,8400,6700,-120.3697692,38.20297195,-120.3697692,38.20297195
5656,5656,10,4, ,CAL, ,41.52, ,WHITE PINES ROAD,900,9300,7400,930,8500,6800,-120.349224,38.25620642,-120.349224,38.25620642
5657,5657,10,4, ,CAL,R,42.62, ,MORAN ROAD EAST JUNCTION,900,7600,6000,690,4500,3250,-120.3337321,38.26497809,-120.3337321,38.26497809
5658,5658,10,4, ,CAL, ,44.497, ,BIG TREES STATE PARK,690,4500,2700,680,3900,2550,-120.3099402,38.27727408,-120.3099402,38.27727408
5659,5659,10,4, ,CAL,R,47.14, ,DORRINGTON,800,4450,2750,470,2500,1650,-120.2767114,38.30117677,-120.2767114,38.30117677
5660,5660,10,4, ,CAL, ,49.57, ,MEKO DRIVE,360,2500,1400,380,2600,1500,-120.2526132,38.32223526,-120.2526132,38.32223526
5661,5661,10,4, ,CAL,R,62.84, ,BIG MEADOWS,450,1950,1100,380,2100,1000,-120.0840712,38.42270379,-120.0840712,38.42270379
5662,5662,10,4, ,CAL,R,65.865, ,CALAVERAS/ALPINE COUNTY LINE,290,1650,1200, , , ,-120.0536211,38.45553412,-120.0536211,38.45553412
5663,5663,10,4, ,ALP,R,0, ,CALAVERAS/ALPINE COUNTY LINE, , , ,290,1650,1200,-120.0536211,38.45553412,-120.0536211,38.45553412
5664,5664,10,4, ,ALP,R,2.896, ,MOUNT REBA ROAD,290,1900,1250,270,1600,1200,-120.0196903,38.48254065,-120.0196903,38.48254065
